2046, 1662, 1298, 2020, 2139, 1663, 1300, 2000, 2189, 1660,
1299, 2026, 2188, 1663, 1299, 2002, 2118, 1662, 1299, 2017,
2028, 1662, 1298, 2017, 1938, 1663, 1299, 1995, 1901, 1662,
1300, 2020, 1914, 1662, 1299, 2003, 1992, 1662, 1299, 2018,
2086, 1663, 1297, 2022, 2168, 1662, 1299, 1988, 2192, 1663,
1299, 2013, 2166, 1663, 1298, 2021, 2080, 1661, 1301, 1999,
1986, 1661, 1297, 2023, 1914, 1661, 1300, 1988, 1901, 1661,
1299, 2011, 1940, 1662, 1298, 2020, 2031, 1661, 1299, 2017,
2126, 1662, 1299, 2011, 2185, 1662, 1298, 2007, 2191, 1660,
1299, 2005, 2133, 1662, 1298, 2020, 2040, 1662, 1298, 2013,
1950, 1662, 1299, 1995, 1903, 1662, 1300, 2024, 1904, 1662,
1299, 1997, 1978, 1661, 1299, 2021, 2068, 1662, 1299, 2009,
2158, 1661, 1300, 2006, 2190, 1661, 1299, 2021, 2174, 1662,
1298, 1986, 2096, 1662, 1299, 2022, 2000, 1662, 1298, 2010,
1921, 1661, 1299, 1990, 1901, 1661, 1300, 2012, 1928, 1661,
1296, 2025, 2015, 1662, 1300, 1995, 2109, 1662, 1298, 2022,
2180, 1662, 1300, 1998, 2191, 1662, 1299, 2020, 2148, 1661,
1298, 2011, 2056, 1661, 1300, 1998, 1963, 1662, 1298, 2023,
1905, 1662, 1299, 2004, 1901, 1662, 1297, 2023, 1963, 1661,
1299, 1991, 2054, 1660, 1299, 2015, 2143, 1662, 1298, 2015,
2189, 1661, 1300, 2001, 2184, 1661, 1298, 2021, 2109, 1661,
1300, 1998, 2018, 1662, 1299, 2020, 1930, 1662, 1298, 1997,
1902, 1661, 1300, 2005, 1919, 1661, 1298, 2023, 2000, 1661,
1299, 2004, 2095, 1662, 1298, 2023, 2172, 1661, 1299, 1987,
2191, 1662, 1299, 2019, 2160, 1663, 1299, 2017, 2071, 1661,
1300, 2004, 1979, 1662, 1298, 2017, 1910, 1661, 1299, 2003,
1901, 1662, 1299, 2019, 1948, 1661, 1299, 2015, 2039, 1660,
1300, 2000, 2133, 1661, 1298, 2021, 2188, 1662, 1300, 2002,
2191, 1662, 1298, 2025, 2123, 1662, 1300, 1992, 2033, 1661,
1299, 2008, 1943, 1662, 1298, 2016, 1902, 1662, 1299, 1985,
1911, 1661, 1299, 2017, 1986, 1662, 1298, 2008, 2079, 1661,
1299, 2003, 2165, 1661, 1297, 2022, 2189, 1662, 1298, 2019,
2169, 1661, 1299, 2001, 2087, 1662, 1297, 2026, 1991, 1662,
1299, 1991, 1916, 1661, 1299, 2008, 1900, 1662, 1298, 2023,
1935, 1661, 1299, 2003, 2025, 1661, 1300, 2013, 2117, 1661,
1298, 2002, 2184, 1662, 1299, 2020, 2190, 1661, 1299, 2003,
2139, 1662, 1299, 2011, 2046, 1662, 1297, 2020, 1955, 1662,
1299, 2000, 1903, 1661, 1299, 2018, 1902, 1661, 1299, 1991,
1971, 1662, 1299, 2013, 2062, 1662, 1298, 2021, 2153, 1661,
1300, 1985, 2190, 1660, 1299, 2020, 2179, 1662, 1299, 2003,
2101, 1661, 1299, 2021, 2007, 1661, 1298, 2016, 1925, 1661,
1300, 2003, 1902, 1661, 1298, 2021, 1923, 1662, 1298, 2015,
2010, 1661, 1300, 2004, 2103, 1662, 1299, 2019, 2178, 1661,
1300, 1998, 2191, 1661, 1299, 2023, 2152, 1662, 1298, 2018,
2064, 1662, 1299, 2000, 1969, 1662, 1298, 2021, 1906, 1661,
1299, 1995, 1902, 1662, 1299, 2014, 1957, 1662, 1298, 2019,
2047, 1661, 1299, 1995, 2140, 1661, 1300, 2016, 2189, 1662,
1298, 1985, 2187, 1662, 1299, 2017, 2115, 1661, 1299, 2013,
2025, 1662, 1299, 1990, 1935, 1661, 1300, 2008, 1901, 1662,
1297, 2021, 1915, 1662, 1299, 1998, 1995, 1661, 1297, 2019,
2090, 1661, 1299, 2000, 2169, 1661, 1299, 2025, 2191, 1661,
1299, 1986, 2164, 1661, 1299, 2014, 2076, 1661, 1298, 2002,
1984, 1661, 1299, 2017, 1912, 1662, 1298, 2023, 1901, 1662,
1299, 1995, 1942, 1662, 1299, 2025, 2033, 1662, 1298, 2015,
2128, 1661, 1299, 2014, 2186, 1662, 1300, 1992, 2190, 1662,
1299, 2013, 2130, 1662, 1297, 2020, 2038, 1662, 1300, 1995,
1948, 1662, 1300, 2023, 1901, 1661, 1300, 1985, 1906, 1662,
1297, 2026, 1980, 1662, 1299, 1993, 2071, 1661, 1299, 2009,
2159, 1662, 1298, 2021, 2192, 1661, 1299, 1990, 2174, 1662,
1299, 2021, 2093, 1662, 1299, 1991, 1997, 1661, 1299, 2017,
1919, 1662, 1298, 2023, 1901, 1662, 1300, 1988, 1931, 1662,
1300, 2009, 2018, 1661, 1299, 2011, 2112, 1661, 1299, 2019,
2181, 1661, 1299, 2013, 2192, 1662, 1299, 1997, 2145, 1662,
1299, 2019, 2051, 1662, 1297, 2003, 1961, 1661, 1299, 2016,
1904, 1661, 1299, 1995, 1901, 1662, 1300, 2016, 1965, 1662,
1298, 2020, 2057, 1662, 1299, 1995, 2146, 1662, 1299, 2021,
2192, 1662, 1298, 1994, 2183, 1662, 1299, 2024, 2106, 1662,
1299, 2001, 2015, 1661, 1299, 2000, 1928, 1662, 1300, 2018,
1900, 1661, 1298, 2021, 1920, 1662, 1300, 1996, 2003, 1661,
1298, 2021, 2097, 1663, 1299, 1989, 2175, 1662, 1300, 2013,
2190, 1662, 1298, 2025, 2157, 1661, 1300, 1996, 2069, 1662,
1300, 2011, 1975, 1661, 1298, 2013, 1909, 1662, 1299, 1995,
1901, 1661, 1299, 2019, 1950, 1661, 1299, 2020, 2043, 1662,
1299, 1988, 2135, 1662, 1299, 2026, 2187, 1662, 1298, 1994,
2190, 1662, 1299, 2015, 2122, 1663, 1298, 2017, 2030, 1661,
1300, 2002, 1941, 1661, 1298, 2022, 1901, 1661, 1299, 1991,
1913, 1661, 1299, 2019, 1988, 1661, 1299, 1988, 2083, 1662,
1300, 2008, 2157, 1661, 1298, 2021, 2190, 1662, 1299, 1991,
2167, 1661, 1300, 2021, 2083, 1662, 1299, 1989, 1989, 1662,
1299, 2021, 1914, 1661, 1298, 2012, 1901, 1661, 1299, 1995,
1938, 1662, 1299, 2014, 2026, 1661, 1297, 2010, 2121, 1661,
1300, 2015, 2184, 1661, 1298, 2011, 2192, 1662, 1299, 1998,
2137, 1662, 1299, 2022, 2043, 1663, 1298, 2013, 1953, 1661,
1300, 2000, 1903, 1662, 1298, 2028, 1902, 1662, 1299, 1989,
1974, 1660, 1300, 2013, 2064, 1662, 1298, 2018, 2155, 1661,
1299, 1991, 2192, 1661, 1299, 2021, 2176, 1662, 1298, 1988,
2099, 1662, 1299, 2014, 2003, 1662, 1298, 2026, 1924, 1661,
1299, 1986, 1901, 1661, 1299, 2009, 1926, 1662, 1298, 2012,
2011, 1661, 1300, 2002, 2105, 1662, 1298, 2019, 2179, 1661,
1299, 1990, 2192, 1662, 1299, 2011, 2149, 1661, 1298, 2023,
2059, 1661, 1299, 1993, 1966, 1661, 1300, 2018, 1906, 1662,
1298, 2018, 1901, 1661, 1299, 2001, 1960, 1661, 1299, 2018,
2052, 1663, 1298, 2026, 2141, 1662, 1299, 1994, 2189, 1661,
1299, 2024, 2186, 1661, 1299, 1991, 2113, 1660, 1300, 2018,
2021, 1661, 1298, 2019, 1931, 1661, 1300, 1988, 1901, 1662,
1299, 2018, 1917, 1663, 1299, 1997, 1997, 1661, 1299, 2019,
2092, 1662, 1298, 2024, 2170, 1663, 1298, 2001, 2192, 1661,
1299, 1998, 2162, 1661, 1300, 2023, 2073, 1661, 1299, 1994,
1981, 1661, 1299, 2013, 1911, 1662, 1297, 2027, 1901, 1661,
1298, 1993, 1946, 1661, 1299, 2010, 2035, 1661, 1298, 2019,
2130, 1662, 1300, 2000, 2187, 1661, 1298, 2021, 2190, 1661,
1300, 1991, 2127, 1661, 1299, 2010, 2035, 1661, 1298, 2022,
1945, 1662, 1298, 1999, 1902, 1661, 1299, 2007, 1908, 1662,
1298, 2024, 1983, 1661, 1298, 2009, 2076, 1661, 1299, 1997,
2163, 1661, 1300, 2013, 2190, 1662, 1298, 2029, 2170, 1662,
1300, 1992, 2089, 1662, 1299, 2019, 1993, 1662, 1299, 2006,
1918, 1663, 1300, 1999, 1901, 1661, 1299, 2020, 1934, 1662,
1298, 2018, 2022, 1661, 1299, 2004, 2116, 1662, 1299, 2017,
2183, 1662, 1300, 1991, 2191, 1661, 1299, 2012, 2141, 1662,
1299, 2022, 2047, 1663, 1298, 2023, 1956, 1661, 1300, 1997,
1904, 1661, 1298, 2019, 1902, 1662, 1299, 2001, 1969, 1661,
1300, 2008, 2059, 1661, 1298, 2019, 2151, 1662, 1297, 2013,
2190, 1661, 1299, 2005, 2180, 1662, 1298, 2019, 2103, 1662,
1299, 1987, 2009, 1661, 1300, 2004, 1925, 1662, 1299, 2022,
1900, 1661, 1298, 2015, 1924, 1661, 1299, 2004, 2007, 1662,
1298, 2017, 2101, 1661, 1300, 1996, 2176, 1662, 1299, 2017,
2192, 1662, 1298, 2009, 2154, 1662, 1299, 1997, 2064, 1661,
1298, 2025, 1970, 1662, 1299, 1993, 1908, 1661, 1299, 2014,
1901, 1662, 1298, 2022, 1954, 1662, 1299, 2018, 2046, 1661,
1299, 1996, 2138, 1661, 1298, 2025, 2189, 1662, 1299, 1992,
2189, 1662, 1299, 2015, 2117, 1663, 1298, 2026, 2026, 1663,
1298, 1993, 1937, 1661, 1299, 1996, 1901, 1661, 1299, 2021,
1916, 1661, 1300, 1992, 1992, 1661, 1299, 2015, 2088, 1663,
1298, 2024, 2169, 1662, 1299, 1994, 2191, 1662, 1299, 2006,
2165, 1663, 1298, 2025, 2078, 1662, 1299, 2000, 1985, 1661,
1298, 2022, 1913, 1662, 1298, 2014, 1901, 1662, 1300, 1997,
1941, 1661, 1299, 2012, 2032, 1663, 1299, 2019, 2126, 1662,
1299, 2009, 2186, 1662, 1298, 2022, 2192, 1661, 1299, 2009,
2131, 1662, 1299, 1988, 2039, 1662, 1300, 2008, 1949, 1662,
1298, 2023, 1900, 1662, 1298, 1992, 1904, 1662, 1299, 2018,
1978, 1662, 1298, 2014, 2070, 1661, 1298, 1991, 2159, 1661,
1299, 2014, 2190, 1662, 1298, 2019, 2173, 1661, 1299, 2005,
2094, 1662, 1297, 2026, 1998, 1662, 1298, 2019, 1920, 1662,
1301, 1992, 1900, 1661, 1299, 2015, 1929, 1662, 1298, 2015,
2017, 1661, 1299, 2011, 2109, 1662, 1298, 2023, 2181, 1662,
1299, 1991, 2191, 1661, 1300, 2015, 2146, 1662, 1298, 2021,
2053, 1662, 1299, 1990, 1961, 1661, 1300, 2014, 1905, 1663,
1298, 2013, 1901, 1661, 1300, 1995, 1965, 1661, 1299, 2021,
2056, 1661, 1298, 1997, 2146, 1661, 1300, 2015, 2189, 1662,
